"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5869","Login with password having XSS attack","firefox","Thu Jul 17 09:39:18 GMT+07:00 2025","passed","Thu Jul 17 09:39:24 GMT+07:00 2025","Verify the user login with XSS attack","e2e-login.spec.ts","",""
"","5418","Login with valid password having special characters","chromium","Thu Jul 17 09:37:28 GMT+07:00 2025","passed","Thu Jul 17 09:37:34 GMT+07:00 2025","Verify the user login with special characters","e2e-login.spec.ts","",""
"","5740","Login with username having emojis","firefox","Thu Jul 17 09:39:27 GMT+07:00 2025","passed","Thu Jul 17 09:39:32 GMT+07:00 2025","Verify the user login with emojis","e2e-login.spec.ts","",""
"","6022","Login the username having uppercase in the first letter","webkit","Thu Jul 17 09:40:03 GMT+07:00 2025","passed","Thu Jul 17 09:40:09 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","5714","Login with password having SQL injection","chromium","Thu Jul 17 09:38:06 GMT+07:00 2025","passed","Thu Jul 17 09:38:11 GMT+07:00 2025","Verify the user login with SQL injection","e2e-login.spec.ts","",""
"","10676","Login the password having uppercase in the first letter","webkit","Thu Jul 17 09:40:14 GMT+07:00 2025","failed","Thu Jul 17 09:40:24 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","5366","Login with invalid username having special characters","chromium","Thu Jul 17 09:37:30 GMT+07:00 2025","passed","Thu Jul 17 09:37:35 GMT+07:00 2025","Verify the user login with special characters","e2e-login.spec.ts","",""
"","6329","Login with password having SQL injection","webkit","Thu Jul 17 09:40:26 GMT+07:00 2025","passed","Thu Jul 17 09:40:32 GMT+07:00 2025","Verify the user login with SQL injection","e2e-login.spec.ts","",""
"","4498","Login with empty password","webkit","Thu Jul 17 09:39:41 GMT+07:00 2025","passed","Thu Jul 17 09:39:45 GMT+07:00 2025","Verify the user leave empty fields","e2e-login.spec.ts","",""
"","6278","Login with password having XSS attack","webkit","Thu Jul 17 09:40:28 GMT+07:00 2025","passed","Thu Jul 17 09:40:34 GMT+07:00 2025","Verify the user login with XSS attack","e2e-login.spec.ts","",""
"","5061","Cancel reset password","chromium","Thu Jul 17 09:38:11 GMT+07:00 2025","passed","Thu Jul 17 09:38:16 GMT+07:00 2025","Verify the password reset functionality","e2e-login.spec.ts","",""
"","3957","Login with both username and password fields empty","chromium","Thu Jul 17 09:37:26 GMT+07:00 2025","passed","Thu Jul 17 09:37:30 GMT+07:00 2025","Verify the user leave empty fields","e2e-login.spec.ts","",""
"","6192","Reset password with valid username","chromium","Thu Jul 17 09:38:09 GMT+07:00 2025","passed","Thu Jul 17 09:38:15 GMT+07:00 2025","Verify the password reset functionality","e2e-login.spec.ts","",""
"","5557","Login with username having white space(s) at the beginning","webkit","Thu Jul 17 09:39:51 GMT+07:00 2025","passed","Thu Jul 17 09:39:57 GMT+07:00 2025","Verify the user login with white spaces","e2e-login.spec.ts","",""
"","6312","Login with password in Arabic","webkit","Thu Jul 17 09:40:22 GMT+07:00 2025","passed","Thu Jul 17 09:40:28 GMT+07:00 2025","Verify the user login with multi-languages","e2e-login.spec.ts","",""
"","10317","Login the username having full lowercase","firefox","Thu Jul 17 09:38:54 GMT+07:00 2025","failed","Thu Jul 17 09:39:04 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","8080","Login with a valid credentials successfully","chromium","Thu Jul 17 09:37:17 GMT+07:00 2025","passed","Thu Jul 17 09:37:25 GMT+07:00 2025","Verify the user can login with valid account","e2e-login.spec.ts","",""
"","5585","Login with username in Arabic","webkit","Thu Jul 17 09:40:21 GMT+07:00 2025","passed","Thu Jul 17 09:40:27 GMT+07:00 2025","Verify the user login with multi-languages","e2e-login.spec.ts","",""
"","5731","Login with password in Chinese","chromium","Thu Jul 17 09:38:00 GMT+07:00 2025","passed","Thu Jul 17 09:38:06 GMT+07:00 2025","Verify the user login with multi-languages","e2e-login.spec.ts","",""
"","6186","Login with an invalid username","webkit","Thu Jul 17 09:39:34 GMT+07:00 2025","passed","Thu Jul 17 09:39:40 GMT+07:00 2025","Verify the user login with invalid account","e2e-login.spec.ts","",""
"","5316","Login with username in Arabic","firefox","Thu Jul 17 09:39:11 GMT+07:00 2025","passed","Thu Jul 17 09:39:16 GMT+07:00 2025","Verify the user login with multi-languages","e2e-login.spec.ts","",""
"","4920","Login the username having uppercase in the first letter","chromium","Thu Jul 17 09:37:45 GMT+07:00 2025","passed","Thu Jul 17 09:37:50 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","5496","Login with username at maximum length","chromium","Thu Jul 17 09:37:39 GMT+07:00 2025","passed","Thu Jul 17 09:37:45 GMT+07:00 2025","Verify the user login with maximum or minimum length","e2e-login.spec.ts","",""
"","5692","Login with password at minimum length","chromium","Thu Jul 17 09:37:41 GMT+07:00 2025","passed","Thu Jul 17 09:37:46 GMT+07:00 2025","Verify the user login with maximum or minimum length","e2e-login.spec.ts","",""
"","3982","Login with empty password","chromium","Thu Jul 17 09:37:26 GMT+07:00 2025","passed","Thu Jul 17 09:37:30 GMT+07:00 2025","Verify the user leave empty fields","e2e-login.spec.ts","",""
"","5371","Login with valid username having special characters","chromium","Thu Jul 17 09:37:28 GMT+07:00 2025","passed","Thu Jul 17 09:37:33 GMT+07:00 2025","Verify the user login with special characters","e2e-login.spec.ts","",""
"","14845","Multiple failed login attempts","webkit","Thu Jul 17 09:40:44 GMT+07:00 2025","passed","Thu Jul 17 09:40:59 GMT+07:00 2025","Verify the user login with multiple attempts","e2e-login.spec.ts","",""
"","6006","Login with valid password having special characters","webkit","Thu Jul 17 09:39:45 GMT+07:00 2025","passed","Thu Jul 17 09:39:51 GMT+07:00 2025","Verify the user login with special characters","e2e-login.spec.ts","",""
"","5427","Login with username having SQL injection","chromium","Thu Jul 17 09:38:03 GMT+07:00 2025","passed","Thu Jul 17 09:38:09 GMT+07:00 2025","Verify the user login with SQL injection","e2e-login.spec.ts","",""
"","6422","Login with password at maximum length","webkit","Thu Jul 17 09:39:57 GMT+07:00 2025","passed","Thu Jul 17 09:40:03 GMT+07:00 2025","Verify the user login with maximum or minimum length","e2e-login.spec.ts","",""
"","7034","Reset password with valid username","firefox","Thu Jul 17 09:39:20 GMT+07:00 2025","passed","Thu Jul 17 09:39:27 GMT+07:00 2025","Verify the password reset functionality","e2e-login.spec.ts","",""
"","10593","Login the username having full uppercase","webkit","Thu Jul 17 09:40:03 GMT+07:00 2025","failed","Thu Jul 17 09:40:13 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","4152","Login with empty username","firefox","Thu Jul 17 09:38:29 GMT+07:00 2025","passed","Thu Jul 17 09:38:34 GMT+07:00 2025","Verify the user leave empty fields","e2e-login.spec.ts","",""
"","5663","Login the password having full uppercase","chromium","Thu Jul 17 09:37:50 GMT+07:00 2025","passed","Thu Jul 17 09:37:55 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","5856","Login with password in Chinese","webkit","Thu Jul 17 09:40:20 GMT+07:00 2025","passed","Thu Jul 17 09:40:26 GMT+07:00 2025","Verify the user login with multi-languages","e2e-login.spec.ts","",""
"","5627","Login with username having emojis","webkit","Thu Jul 17 09:40:39 GMT+07:00 2025","passed","Thu Jul 17 09:40:44 GMT+07:00 2025","Verify the user login with emojis","e2e-login.spec.ts","",""
"","9620","Multiple failed login attempts","chromium","Thu Jul 17 09:38:20 GMT+07:00 2025","passed","Thu Jul 17 09:38:30 GMT+07:00 2025","Verify the user login with multiple attempts","e2e-login.spec.ts","",""
"","6447","Login the password having mixure uppercase letters","webkit","Thu Jul 17 09:40:14 GMT+07:00 2025","passed","Thu Jul 17 09:40:21 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","10966","Login the username having mixure uppercase letters","webkit","Thu Jul 17 09:40:03 GMT+07:00 2025","failed","Thu Jul 17 09:40:14 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","10758","Login the password having uppercase in the first letter","firefox","Thu Jul 17 09:39:00 GMT+07:00 2025","failed","Thu Jul 17 09:39:11 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","5170","Login the username having uppercase in the first letter","firefox","Thu Jul 17 09:38:52 GMT+07:00 2025","passed","Thu Jul 17 09:38:57 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
"","5873","Login with password having white space(s) at the beginning","webkit","Thu Jul 17 09:39:52 GMT+07:00 2025","passed","Thu Jul 17 09:39:58 GMT+07:00 2025","Verify the user login with white spaces","e2e-login.spec.ts","",""
"","5382","Login with username having white space(s) at the beginning","chromium","Thu Jul 17 09:37:33 GMT+07:00 2025","passed","Thu Jul 17 09:37:39 GMT+07:00 2025","Verify the user login with white spaces","e2e-login.spec.ts","",""
"","4693","Login the password having full lowercase","chromium","Thu Jul 17 09:37:55 GMT+07:00 2025","passed","Thu Jul 17 09:38:00 GMT+07:00 2025","Verify the user login with case sensitivity","e2e-login.spec.ts","",""
